InstructorId,FirstName,LastName,DateOfBirth,ContactNumber,Status,EmailId,Age
1001,Judith,Miller,1985-09-07,+1(690)-103-4276,Retired,judith.miller@university.edu,40
1002,Samantha,Rice,1989-03-16,+1(405)-250-5044,Visiting,samantha.rice@university.edu,36
1003,Madeline,Bernard,1983-08-28,+1(618)-173-1814,Retired,madeline.bernard@university.edu,42
1004,Valerie,Wilson,1989-03-21,+1(320)-269-5516,Active,valerie.wilson@university.edu,36
1005,Matthew,Phillips,1966-05-09,+1(743)-599-2564,Retired,matthew.phillips@university.edu,59
1006,Chelsea,Baker,1958-05-02,+1(429)-380-9873,Visiting,chelsea.baker@university.edu,67
1007,Danny,Mcintosh,1955-07-31,+1(973)-719-5649,Active,danny.mcintosh@university.edu,70
1008,Rebecca,Franklin,1978-05-10,+1(553)-426-4421,Active,rebecca.franklin@university.edu,47
1009,Jonathan,Lewis,1964-09-30,+1(522)-798-1738,Retired,jonathan.lewis@university.edu,61
1010,Steven,Gordon,1986-11-30,+1(360)-559-9243,Retired,steven.gordon@university.edu,39
1011,Laura,Kaiser,1970-03-19,+1(611)-280-1261,Retired,laura.kaiser@university.edu,55
1012,Benjamin,Martinez,1989-05-11,+1(884)-785-6302,Visiting,benjamin.martinez@university.edu,36
1013,Charles,Edwards,1983-11-08,+1(441)-974-2184,Visiting,charles.edwards@university.edu,42
1014,Charles,Todd,1979-06-09,+1(547)-908-6240,Retired,charles.todd@university.edu,46
1015,Lynn,Miller,1990-12-09,+1(649)-774-2925,Active,lynn.miller@university.edu,35
1016,Susan,Roth,1955-08-01,+1(672)-558-9037,Active,susan.roth@university.edu,70
1017,Steven,Wall,1961-11-27,+1(486)-335-3222,Retired,steven.wall@university.edu,64
1018,Tiffany,Cooper,1991-08-18,+1(807)-779-8941,Visiting,tiffany.cooper@university.edu,34
1019,Rebecca,Davenport,1986-09-27,+1(397)-104-4736,Active,rebecca.davenport@university.edu,39
1020,Jerome,Garcia,1967-05-05,+1(103)-229-7789,Visiting,jerome.garcia@university.edu,58
1021,Cheryl,Higgins,1955-11-16,+1(283)-442-3359,Active,cheryl.higgins@university.edu,70
1022,Kelly,Sherman,1954-11-16,+1(625)-626-8087,Retired,kelly.sherman@university.edu,71
1023,Roberto,Garza,1965-12-28,+1(920)-328-9792,Visiting,roberto.garza@university.edu,60
1024,Debra,Price,1971-01-25,+1(608)-590-3684,Active,debra.price@university.edu,54
1025,Lisa,Park,1971-05-07,+1(243)-779-3465,Visiting,lisa.park@university.edu,54
1026,Sarah,Jacobson,1984-04-05,+1(523)-529-4549,Retired,sarah.jacobson@university.edu,41
1027,Erin,Finley,1988-04-14,+1(678)-594-5252,Active,erin.finley@university.edu,37
1028,Linda,Oconnor,1982-10-31,+1(397)-271-3780,Active,linda.oconnor@university.edu,43
1029,Jesse,Walsh,1980-07-23,+1(396)-521-5601,Active,jesse.walsh@university.edu,45
1030,Curtis,Rogers,1988-04-16,+1(600)-566-8390,Active,curtis.rogers@university.edu,37
1031,Suzanne,Rodriguez,1962-09-11,+1(546)-197-2931,Visiting,suzanne.rodriguez@university.edu,63
1032,Mary,Smith,1977-10-03,+1(579)-529-7136,Visiting,mary.smith@university.edu,48
1033,Courtney,Thompson,1977-02-07,+1(195)-894-3268,Visiting,courtney.thompson@university.edu,48
1034,Andres,Watts,1965-05-05,+1(975)-343-2447,Retired,andres.watts@university.edu,60
1035,Christopher,Cooper,1968-05-29,+1(914)-423-7750,Active,christopher.cooper@university.edu,57
1036,Shawn,Vaughan,1971-11-30,+1(460)-442-3207,Active,shawn.vaughan@university.edu,54
1037,Eric,Haley,1989-09-14,+1(681)-771-8293,Visiting,eric.haley@university.edu,36
1038,Mark,Palmer,1960-08-30,+1(685)-717-6922,Active,mark.palmer@university.edu,65
1039,Meagan,Thomas,1972-03-21,+1(216)-641-4864,Active,meagan.thomas@university.edu,53
1040,Billy,Martinez,1959-06-10,+1(727)-364-3448,Visiting,billy.martinez@university.edu,66
1041,Amber,Thompson,1976-05-14,+1(142)-851-1841,Active,amber.thompson@university.edu,49
1042,Richard,Johnson,1958-11-06,+1(633)-309-3708,Visiting,richard.johnson@university.edu,67
1043,Warren,Moreno,1961-09-15,+1(124)-367-2526,Retired,warren.moreno@university.edu,64
1044,James,Wilson,1991-10-07,+1(957)-863-6938,Active,james.wilson@university.edu,34
1045,Tara,Blair,1959-05-09,+1(626)-957-9872,Visiting,tara.blair@university.edu,66
1046,Jessica,Cohen,1962-08-05,+1(867)-271-8657,Retired,jessica.cohen@university.edu,63
1047,Tiffany,Peterson,1966-05-24,+1(981)-115-9722,Retired,tiffany.peterson@university.edu,59
1048,Brandon,Murphy,1960-10-19,+1(362)-439-5805,Active,brandon.murphy@university.edu,65
1049,Gregory,Clark,1964-03-31,+1(219)-156-4609,Visiting,gregory.clark@university.edu,61
1050,Shelly,Hunt,1959-01-11,+1(990)-383-6668,Active,shelly.hunt@university.edu,66
